"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-01-01,0.566336927373547,53325,1,1,1996.00147996357,1753,1996,1,-0.568566099841511,NA,NA,-3.07990973505162,0.255801168396173,0.0477469343688715,2.33632962161048,0.0561485016471972,30.8852175903019
"2",1996-01-02,0.566336927373547,53326,1,2,1996.00421220401,1753,1996,2,-0.568566099841511,NA,NA,-3.08752541289726,0.255296224644708,0.0475417633224548,2.3262902923933,0.0544594215005088,28.9394053080209
"3",1996-01-03,0.53802008100487,53327,1,3,1996.00694444444,1753,1996,3,-0.619859394229062,NA,NA,-3.12018881964562,0.254006239745386,0.0462293702243633,2.14896926991595,0.0529161233287469,22.0695298257648
"4",1996-01-04,0.53802008100487,53328,1,4,1996.00967668488,1753,1996,4,-0.619859394229062,NA,NA,-3.13075121233628,0.253378714150362,0.0459162688329676,2.13441477208888,0.0524061476663491,18.7276299410288
"5",1996-01-05,0.53802008100487,53329,1,5,1996.01240892532,1753,1996,5,-0.619859394229062,NA,NA,-3.14131360502605,0.252751188555391,0.0456031674415979,2.11986027426302,0.0527900956976158,19.2001865766862
"6",1996-01-06,0.53802008100487,53330,1,6,1996.01514116576,1753,1996,6,-0.619859394229062,NA,NA,-3.15187599771583,0.252123662960419,0.0452900660502282,2.10530577643716,0.0538963411040692,22.53987994729
"7",1996-01-07,0.53802008100487,53331,1,7,1996.01787340619,1753,1996,7,-0.619859394229062,0.546110608538777,NA,-3.16243839040561,0.251496137365447,0.0449769646588585,2.0907512786113,0.0519307321504071,18.4636024939413
"8",1996-01-08,0.509703234636192,53332,1,8,1996.02060564663,1753,1996,8,-0.673926615499338,0.53802008100487,NA,-3.21493344786346,0.249395060643886,0.0429279270220469,1.89047548160903,0.0516935670357178,22.633152916196
"9",1996-01-09,0.453069541898838,53333,1,9,1996.02333788707,1753,1996,9,-0.791709651155721,0.521839025937054,NA,-3.32671679758688,0.245146777964517,0.0384715618223973,1.50597730578295,0.0499510295734581,26.4091070845462
"10",1996-01-10,0.42475269553016,53334,1,10,1996.0260701275,1753,1996,10,-0.856248172293292,0.505657970869238,NA,-3.40378606361541,0.24238127374492,0.0355022928143435,1.30288561088199,0.0509030026747483,23.015174170761
"11",1996-01-11,0.42475269553016,53335,1,11,1996.02880236794,1753,1996,11,-0.856248172293292,0.489476915801423,NA,-3.4278115985098,0.241198970151661,0.0346971236381414,1.27333700286714,0.051051358602266,16.6486022026697
"12",1996-01-12,0.42475269553016,53336,1,12,1996.03153460838,1753,1996,12,-0.856248172293292,0.473295860733607,NA,-3.4518371334022,0.240016666558499,0.0338919544620062,1.24378839485475,0.0503297969967107,16.2605239643698
"13",1996-01-13,0.42475269553016,53337,1,13,1996.03426684882,1753,1996,13,-0.856248172293292,0.457114805665792,NA,-3.47586266829459,0.238834362965338,0.033086785285871,1.21423978684236,0.0497241860114878,22.5244118998609
"14",1996-01-14,0.42475269553016,53338,1,14,1996.03699908925,1753,1996,14,-0.856248172293292,0.440933750597976,NA,-3.49988820318698,0.237652059372177,0.0322816161097359,1.18469117882997,0.0486126081060699,20.5883517440468
"15",1996-01-15,0.42475269553016,53339,1,15,1996.03973132969,1753,1996,15,-0.856248172293292,0.428797959297114,NA,-3.52391373807937,0.236469755779016,0.0314764469336007,1.15514257081757,0.0489535779527945,16.4019270838949
"16",1996-01-16,0.42475269553016,53340,1,16,1996.04246357013,1753,1996,16,-0.856248172293292,0.42475269553016,NA,-3.54793927297176,0.235287452185855,0.0306712777574656,1.12559396280518,0.0487556719404615,12.5268308674524
"17",1996-01-17,0.849505391060321,53341,1,17,1996.04519581056,1753,1996,17,-0.163100991733347,0.485431652034469,NA,-2.8630896799169,0.267700284738495,0.0596471098647901,4.37793477620888,0.0498203139666447,11.4469745015498
"18",1996-01-18,1.69901078212064,53342,1,18,1996.047928051,1753,1996,18,0.530046188826598,0.667468521547395,NA,-2.95806201916281,0.30768089530517,0.054820264024226,8.04731497826632,0.0508014151615927,14.1940872657343
"19",1996-01-19,3.39802156424128,53343,1,19,1996.05066029144,1753,1996,19,1.22319336938654,1.09222121707756,NA,-3.13303029310808,0.347012313678158,0.046353677737075,13.6089328204056,0.0514897865741641,13.5570537579815
"20",1996-01-20,7.07921159216934,53344,1,20,1996.05339253188,1753,1996,20,1.95716254446674,2.04285820231172,NA,-3.17307386660212,0.484688721472508,0.0474396851496766,29.0161931650952,0.0512352956012861,11.5673858767474
"21",1996-01-21,4.53069541898838,53345,1,21,1996.05612477231,1753,1996,21,1.51087544183832,2.62942144852004,NA,-3.09384336176592,0.37533547874533,0.0487270675106241,19.0743121340169,0.0509586374570197,11.4882787309874
"22",1996-01-22,3.11485310055451,53346,1,22,1996.05885701275,1753,1996,22,1.13618199239691,3.01372150638066,NA,-3.14076219410847,0.349708751033605,0.0459924246785702,12.3776334672823,0.0491539933943331,11.6775657143695
"23",1996-01-23,2.26534770949419,53347,1,23,1996.06158925319,1753,1996,23,0.817728261278379,3.27666365123267,NA,-3.05869328981801,0.334462213787886,0.0497547182532046,9.73829407951518,0.0503455461817374,12.8640054898132
"24",1996-01-24,1.41584231843387,53348,1,24,1996.06432149362,1753,1996,24,0.347724632032644,3.35756892657174,NA,-2.80987043191953,0.306252392498267,0.0642664779361006,7.86163960384943,0.051521416258595,15.7681735630543
"25",1996-01-25,0.991089622903707,53349,1,25,1996.06705373406,1753,1996,25,-0.0089503119060887,3.2564373323979,NA,-2.69838546017437,0.284478917015862,0.0718376447825634,6.15146782560548,0.0531300805749164,14.1197212113084
"26",1996-01-26,0.906139083797675,53350,1,26,1996.0697859745,1753,1996,26,-0.0985624705957758,2.90045412090595,NA,-2.70913611408501,0.281939617328359,0.0718260306917016,5.62328988282451,0.0538011791572742,11.0901695752873
"27",1996-01-27,1.64237708938329,53351,1,27,1996.07251821494,1753,1996,27,0.496144637150917,2.1237634776508,NA,-2.86337245769132,0.327838738552793,0.0620887542186489,8.81047993856188,0.0549980292934032,10.3703333021532
