OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Kjeldahl nitrogen,Total,0.53,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 351.2,21OHIO_WQX,USEPA 351.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Cadmium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,0.2,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Calcium,Total,74.0,mg/l,,Final,,Actual,,,,,,,,,,,,,OEPA Method,21OHIO_WQX,OEPA Method,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Sulfate,Total,54.5,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 375.2,21OHIO_WQX,USEPA 375.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Manganese,Total,27.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Arsenic,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Inorganic nitrogen (nitrate and nitrite),Total,4.45,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 350.1,21OHIO_WQX,USEPA 350.1,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Chloride,Total,36.1,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 325.1,21OHIO_WQX,USEPA 325.1,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Potassium,Total,3.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Phosphorus,Total,0.096,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 365.4,21OHIO_WQX,USEPA 365.4,,DES,,,,,,,STORET
