# Crop N & P Balance in Ontario, 1950-2007
# taken from http://phosphorus.ipni.net/article/nane-3048

year,Manure P2O5 x1000 tones,Fert P2O5 x1000 tones,Crop removal P2O5 x1000 tones
1930,27,24,70
1931,27,25,63
1932,28,26,64
1933,28,27,59
1934,27,28,52
1935,28,29,69
1936,28,30,59
1937,28,31,65
1938,29,33,68
1939,30,34,69
1940,31,35,71
1941,32,36,60
1942,31,37,77
1943,32,38,60
1944,32,39,63
1945,33,40,66
1946,32,41,62
1947,33,42,58
1948,31,43,69
1949,31,44,55
1950,30,45,67
1951,32,46,76
1952,34,48,69
1953,35,49,77
1954,36,49,71
1955,37,50,69
1956,37,51,69
1957,38,51,73
1958,39,52,71
1959,39,59,73
1960,39,55,74
1961,41,61,81
1962,43,65,77
1963,43,69,81
1964,44,79,84
1965,44,87,81
1966,43,97,92
1967,44,109,100
1968,45,110,99
1969,46,108,99
1970,45,113,103
1971,48,117,100
1972,50,121,102
1973,51,129,105
1974,52,134,99
1975,51,126,116
1976,51,145,113
1977,51,144,123
1978,51,149,114
1979,54,169,128
1980,55,157,132
1981,54,153,131
1982,54,155,130
1983,54,151,120
1984,52,147,131
1985,52,152,135
1986,50,136,131
1987,50,121,139
1988,50,118,114
1989,49,111,130
1990,49,98,136
1991,49,102,128
1992,48,98,117
1993,47,97,133
1994,48,88,137
1995,50,80,138
1996,51,67,123
1997,51,71,128
1998,51,81,132
1999,51,71,137
2000,51,76,124
2001,52,76,110
2002,53,75,125
2003,55,104,135
2004,56,103,138
2005,56,94,142
2006,55,83,159
2007,54,91,137
