"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-01-01,10.533866849148,53325,1,1,1996.00147996357,1753,1996,1,2.35459548087764,NA,NA,4.45120808753264,0.196777512501251,87.4294399286095,79571.814817267,98.44699457603,145066.623755279
"2",1996-01-02,10.3073320781986,53326,1,2,1996.00421220401,1753,1996,2,2.33285549424124,NA,NA,4.44987385939483,0.196916149137075,87.3262134438101,77768.6642867807,98.1478056058463,143898.351066576
"3",1996-01-03,9.71267830445633,53327,1,3,1996.00694444444,1753,1996,3,2.27343207377044,NA,NA,4.44250799982471,0.197728603887572,86.7164980546713,72770.3524190047,97.8552443652386,138771.402509731
"4",1996-01-04,9.45782668713824,53328,1,4,1996.00967668488,1753,1996,4,2.2468426195812,NA,NA,4.44089189310936,0.197929997307625,86.5874015281297,70755.4342318492,98.5948875977165,145114.432302977
"5",1996-01-05,8.94812345250204,53329,1,5,1996.01240892532,1753,1996,5,2.19144384019141,NA,NA,4.43497398804133,0.198631534500222,86.0956966481458,66562.1212898974,98.6230979961414,149839.874659144
"6",1996-01-06,8.21188544691643,53330,1,6,1996.01514116576,1753,1996,6,2.10558254958502,NA,NA,4.42484668510926,0.19984547437928,85.2475535450632,60483.7276711431,98.5268793953367,150161.184701505
"7",1996-01-07,7.5039642876995,53331,1,7,1996.01787340619,1753,1996,7,2.01543145259072,9.23938244372273,NA,4.41836704851873,0.200847478622513,84.7082406900628,54919.9537642441,98.6831190141366,152405.504023015
"8",1996-01-08,6.71109258937653,53332,1,8,1996.02060564663,1753,1996,8,1.90376176773963,8.69327183518395,NA,4.41911264311081,0.201517593206079,84.7892204537661,49164.0459015988,99.1602087631696,165828.120656363
"9",1996-01-09,6.71109258937653,53333,1,9,1996.02333788707,1753,1996,9,1.90376176773963,8.1795233367808,NA,4.42272418465154,0.20121817952287,85.0943924237043,49340.9963282879,100.511825205971,183247.311600233
"10",1996-01-10,7.22079582401273,53334,1,10,1996.0260701275,1753,1996,10,1.97696517176292,7.82354012528886,NA,4.4281477935581,0.200252572331774,85.5418266862699,53367.5576086247,100.025476615871,178080.352805956
"11",1996-01-11,7.36238005585611,53335,1,11,1996.02880236794,1753,1996,11,1.99638325762003,7.52419060653427,NA,4.43221189302304,0.199763522921731,85.8827516915749,54630.8459881425,100.256112374681,174303.830233715
"12",1996-01-12,7.5039642876995,53336,1,12,1996.03153460838,1753,1996,12,2.01543145259072,7.31788215441962,NA,4.43625527228452,0.199272525630433,86.2221419140157,55901.4802904216,100.494237494414,176725.909296387
"13",1996-01-13,7.84376644412363,53337,1,13,1996.03426684882,1753,1996,13,2.05971913279184,7.26529372544922,NA,4.44240528229679,0.198436016956886,86.7396890702923,58783.610520283,100.811667674837,185242.024175162
"14",1996-01-14,7.41901374859347,53338,1,14,1996.03699908925,1753,1996,14,2.00404613036559,7.25315793414836,NA,4.44314255486849,0.198752510080348,86.8065517521747,55643.2416792611,101.279786512344,188988.480969713
"15",1996-01-15,7.41901374859347,53339,1,15,1996.03973132969,1753,1996,15,2.00404613036559,7.3542895283222,NA,4.44672365558056,0.198439107631838,87.1095758461443,55837.48096829,101.508916917292,189578.995993141
"16",1996-01-16,6.85267682121992,53340,1,16,1996.04246357013,1753,1996,16,1.92463935276118,7.37451584715697,NA,4.44848375267688,0.198914812176412,87.2684864504327,51669.1642454056,101.313677812266,181495.757873681
"17",1996-01-17,9.57109407261295,53341,1,17,1996.04519581056,1753,1996,17,2.25874752208752,7.71027273981415,NA,4.47809611183413,0.194106888742268,89.7931002770747,74253.733328746,100.543134290595,179173.981386092
"18",1996-01-18,14.7247601117122,53342,1,18,1996.047928051,1753,1996,18,2.68953043817997,8.76204131922217,NA,4.56688177499705,0.187044394609772,98.0117019331127,124692.376242735,100.631391514493,178943.480645536
"19",1996-01-19,20.4164462318164,53343,1,19,1996.05066029144,1753,1996,19,3.01634076388945,10.6066815969531,NA,4.64052354238075,0.182896548650118,105.432207991588,185980.406880551,99.8107022784987,166532.863799464
"20",1996-01-20,16.7352562038883,53344,1,20,1996.05339253188,1753,1996,20,2.8175176440106,11.8768944197767,NA,4.59670764934376,0.185307776806303,100.912041386778,145911.358079866,99.0571585218399,158219.7133222
"21",1996-01-21,15.9423845055654,53345,1,21,1996.05612477231,1753,1996,21,2.76898125474419,13.0945188136298,NA,4.5862963532798,0.185869908425702,99.84050063852,137522.504195202,98.423725686504,153906.32299603
"22",1996-01-22,14.9512948826616,53346,1,22,1996.05885701275,1753,1996,22,2.70479791031076,14.1705589756395,NA,4.57176324064073,0.186730646726208,98.4619635462663,127192.364787408,98.1861403019114,149654.512925656
"23",1996-01-23,15.2061464999797,53347,1,23,1996.06158925319,1753,1996,23,2.72169972111336,15.3639117868909,NA,4.57572151373405,0.186508101194309,98.8353400829921,129850.962682518,98.8557903569306,156396.542801685
"24",1996-01-24,15.970701351934,53348,1,24,1996.06432149362,1753,1996,24,2.77075587810256,16.2781413982225,NA,4.58655670854791,0.185805739841783,99.8664341639803,137802.55637798,98.4930463394986,154483.394962062
"25",1996-01-25,14.7813938044496,53349,1,25,1996.06705373406,1753,1996,25,2.69336921448714,16.2862319257564,NA,4.57103090603265,0.186419869415442,98.3836996629041,125647.045227885,98.2935199447284,146173.652089984
"26",1996-01-26,14.7247601117122,53350,1,26,1996.0697859745,1753,1996,26,2.68953043817997,15.4731339085987,NA,4.57109418091856,0.186202649357413,98.3864037020303,125169.079055023,98.486924236008,140841.817151489
"27",1996-01-27,14.9512948826616,53351,1,27,1996.07251821494,1753,1996,27,2.70479791031076,15.2182822912806,NA,4.57489584726494,0.185811029914004,98.7455966897614,127558.759778467,98.2874636951074,136439.431849383
"28",1996-01-28,14.3849579552881,53352,1,28,1996.07525045537,1753,1996,28,2.66618307418298,14.9957927840981,NA,4.5684384223445,0.185873195064086,98.1255511283544,121956.358520521,98.282746049942,135655.62443654
"29",1996-01-29,14.045155798864,53353,1,29,1996.07798269581,1753,1996,29,2.64227755332942,14.8663443435556,NA,4.56512323243074,0.18576566927224,97.804267854619,118685.621935752,98.5446918048246,135753.830357211
