Date,code,"Silica, mg/L"
2000-01-01,0,3.49
2000-01-02,0,3.92
2000-01-03,0,3.825
2000-01-04,0,3.75
2000-01-05,0,4.42
2000-01-06,0,4.83
2000-01-07,0,5.73
2000-01-08,0,6.02
2000-01-09,0,6.21
2000-01-10,0,5.795
2000-01-11,0,5.35
2000-01-12,0,5.57
2000-01-13,0,5.43
2000-01-14,0,5.59
2000-01-15,0,5.56
2000-01-16,0,5.23
2000-01-17,0,5.345
2000-01-18,0,5.2
2000-01-19,0,5.29
2000-01-20,0,5.05
2000-01-21,0,5.19
2000-01-22,0,4.56
2000-01-23,0,5.0
2000-01-24,0,5.215
2000-01-25,0,5.21
2000-01-26,0,5.21
2000-01-27,0,5.08
2000-01-28,0,5.21
2000-01-29,0,5.38
2000-01-30,0,5.26
2000-01-31,0,5.24
2000-02-01,0,5.26
2000-02-02,0,4.61
2000-02-03,0,4.69
2000-02-04,0,4.41
2000-02-05,0,4.48
2000-02-06,0,4.18
2000-02-07,0,4.205
2000-02-08,0,4.19
2000-02-09,0,3.84
2000-02-10,0,3.3
2000-02-11,0,3.27
2000-02-12,0,3.44
2000-02-13,0,4.5
2000-02-14,0,4.675000000000001
2000-02-15,0,4.04
2000-02-16,0,4.04
2000-02-17,0,3.57
2000-02-18,0,4.18
2000-02-19,0,5.33
2000-02-20,0,5.26
2000-02-21,0,5.415
2000-02-22,0,5.53
2000-02-23,0,6.286666666666666
2000-02-24,0,6.493333333333333
2000-02-25,0,7.010000000000001
2000-02-26,0,7.453333333333333
2000-02-27,0,7.526666666666667
2000-02-28,0,8.073333333333334
2000-02-29,0,8.383333333333333
2000-03-01,0,8.379999999999999
2000-03-02,0,8.61
2000-03-05,0,8.07
2000-03-06,0,7.79
2000-03-09,0,6.86
2000-03-10,0,6.95
2000-03-12,0,6.49
2000-03-13,0,6.97
2000-03-14,0,5.93
2000-03-15,0,4.52
2000-03-16,0,3.27
2000-03-17,0,3.88
2000-03-18,0,3.67
2000-03-19,0,2.83
2000-03-20,0,2.9466666666666668
2000-03-21,0,5.376666666666666
2000-03-22,0,4.975
2000-03-23,0,5.415
2000-03-24,0,5.95
2000-03-25,0,6.57
2000-03-26,0,5.5
2000-03-27,0,5.845000000000001
2000-03-28,0,5.83
2000-03-29,0,6.33
2000-03-30,0,5.94
2000-03-31,0,5.42
2000-04-01,0,4.84
2000-04-02,0,5.2
2000-04-03,0,5.24
2000-04-04,0,5.34
2000-04-05,0,3.99
2000-04-06,0,2.97
2000-04-07,0,1.78
2000-04-08,0,1.46
2000-04-09,0,4.49
2000-04-10,0,3.603333333333333
2000-04-11,0,6.150000000000001
2000-04-12,0,6.796666666666667
2000-04-13,0,6.8100000000000005
2000-04-14,0,6.17
2000-04-15,0,6.35
2000-04-16,0,6.51
2000-04-17,0,6.035
2000-04-18,0,6.3
2000-04-19,0,6.13
2000-04-20,0,6.265
2000-04-21,0,6.566666666666666
2000-04-22,0,7.096666666666667
2000-04-23,0,7.836666666666666
2000-04-24,0,8.086666666666666
2000-04-25,0,8.215
2000-04-26,0,8.19
2000-04-27,0,8.0
2000-04-28,0,7.78
2000-04-29,0,7.56
2000-04-30,0,7.46
2000-05-01,0,7.62
2000-05-03,0,7.6
2000-05-04,0,7.8
2000-05-05,0,7.08
2000-05-06,0,5.31
2000-05-07,0,4.3
2000-05-08,0,4.025
2000-05-09,0,3.1
2000-05-10,0,4.3500000000000005
2000-05-11,0,5.463333333333334
2000-05-12,0,5.51
2000-05-13,0,4.57
2000-05-14,0,5.08
2000-05-15,0,6.36
2000-05-16,0,6.78
2000-05-17,0,6.44
2000-05-18,0,6.79
2000-05-19,0,7.595
2000-05-20,0,7.9433333333333325
2000-05-21,0,7.256666666666667
2000-05-22,0,7.325
2000-05-23,0,6.8
2000-05-24,0,7.266666666666667
2000-05-25,0,7.71
2000-05-26,0,7.89
2000-05-27,0,8.15
2000-05-28,0,7.98
2000-05-29,0,8.24
2000-05-30,0,8.176666666666668
2000-05-31,0,7.995
2000-06-01,0,8.46
2000-06-02,0,8.32
2000-06-03,0,8.18
2000-06-04,0,8.15
2000-06-05,0,8.306666666666667
2000-06-06,0,7.33
2000-06-14,0,8.11
2000-06-15,0,7.983333333333334
2000-06-16,0,8.360000000000001
2000-06-17,0,8.693333333333333
2000-06-18,0,8.503333333333332
2000-06-19,0,9.3
2000-06-20,0,9.64
2000-06-21,0,9.25
2000-06-22,0,9.18
2000-06-23,0,9.273333333333333
2000-06-24,0,9.3
2000-06-25,0,9.270000000000001
2000-06-26,0,9.22
2000-06-27,0,8.29
2000-06-28,0,8.43
2000-06-29,0,8.55
2000-06-30,0,8.49
2000-07-01,0,8.6
2000-07-02,0,8.64
2000-07-03,0,8.51
2000-07-04,0,8.49
2000-07-05,0,8.67
2000-07-06,0,7.98
2000-07-07,0,8.16
2000-07-08,0,8.56
2000-07-10,0,8.99
2000-07-11,0,9.53
2000-07-12,0,9.0
2000-07-13,0,9.26
2000-07-14,0,8.77
2000-07-15,0,8.67
2000-07-16,0,8.33
2000-07-17,0,7.49
2000-07-18,0,6.97
2000-07-19,0,6.87
2000-07-20,0,7.43
2000-07-21,0,7.45
2000-07-22,0,6.2
2000-07-23,0,4.75
2000-07-24,0,2.17
2000-07-25,0,1.58
2000-07-26,0,1.29
2000-07-27,0,1.07
2000-07-28,0,0.24
2000-07-29,0,1.14
2000-07-30,0,1.14
2000-07-31,0,3.3
