Date,Month,Inflow concentration of NO3 [mg m-3]
1990-07-02,7,2.52
1990-08-08,8,1.68
2001-09-17,9,3.31
2001-09-18,9,0.221
2001-11-19,11,1.195
2002-01-23,1,1.525
2002-03-13,3,1.45
2002-05-02,5,0.489
2002-06-05,6,0.573
2002-07-08,7,0.4135
2002-08-20,8,1.13
2002-08-28,8,0.221
2002-11-11,11,0.686
2002-12-10,12,0.9125
2003-02-02,2,2.77
2003-04-22,4,1.55
2003-05-01,5,0.664
2003-06-12,6,2.01
2003-07-22,7,1.493
2003-08-05,8,1.458
2003-09-08,9,1.128
2011-04-27,4,2.77
2011-05-26,5,1.845
2011-06-16,6,1.02
2011-07-19,7,0.703
2011-07-27,7,1.1
2011-07-28,7,0.655
2011-07-29,7,1.68
2011-07-31,7,5.09
2011-08-02,8,3.34
2011-08-08,8,1.01
2011-08-09,8,1.2
2011-08-18,8,0.71
2011-09-20,9,0.617
2011-10-20,10,0.924
2011-11-16,11,1.43
2011-11-30,11,3.67
2011-12-01,12,2.76
2011-12-03,12,3.77
2011-12-21,12,2.29
2012-01-24,1,2.57
2012-02-23,2,2.16
2012-03-16,3,1.94
2012-03-19,3,1.54
2012-04-18,4,1.41
2012-05-17,5,1.19
2012-06-21,6,0.604
2012-07-05,7,1.76
2012-07-18,7,0.3
2012-08-15,8,0.326
2012-09-19,9,0.348
2012-10-18,10,0.732
2012-11-15,11,0.994
2012-12-19,12,1.3
2013-01-14,1,2.92
2013-01-17,1,4.35
2013-01-29,1,2.58
2013-01-30,1,2.45
2013-01-31,1,2.77
2013-02-21,2,2.96
2013-03-11,3,2.75
2013-03-12,3,5.99
2013-03-13,3,7.02
2013-03-20,3,3.77
2013-04-13,4,5.635
2013-04-14,4,7.36
2013-04-17,4,4.22
2013-04-18,4,3.58
2013-04-19,4,4.13
2013-05-23,5,0.727
2013-06-18,6,2.43
2013-06-27,6,1.01
2013-07-17,7,0.476
2013-08-21,8,0.197
2013-09-17,9,4.7
2014-12-18,12,3.48
2015-01-22,1,3.63
2015-02-25,2,4.14
2015-03-18,3,6.59
2015-04-22,4,3.19
2015-05-27,5,1.72
2015-06-01,6,1.61
2015-06-18,6,3.65
2015-06-24,6,2.54
2015-07-21,7,1.6
2015-08-19,8,0.172
2015-09-22,9,0.177
2015-10-08,10,0.573
2015-11-12,11,1.97
2015-12-09,12,3.87
2016-01-06,1,4.78
2016-02-10,2,4.77
2016-03-03,3,5.03
2016-04-05,4,3.74
2016-05-11,5,2.055
2016-06-15,6,1.27
2016-07-20,7,0.32
2016-08-03,8,0.459
2016-09-21,9,0.177
