Date,Units,Result Value
2012-09-24,mg N/L        ,ND
2006-09-14,mg/L,0.166
2012-09-11,mg N/L        ,ND
2007-09-10,mg/L,
2009-08-05,mg/L,1.5
2012-08-30,mg N/L        ,ND
2007-08-28,mg/L,0.003
2007-08-15,mg/L,0.32
2010-08-11,mg/L,
2011-08-01,mg/L,
2008-07-31,mg/L,3.4
2012-07-25,mg N/L        ,ND
2007-07-25,mg/L,0.001
2010-07-19,mg/L,0.58
2006-07-13,mg/L,0.44
2007-06-28,mg/L,0.21
2011-06-20,mg/L,1.11
2012-06-19,mg N/L        ,0.98
2008-06-17,mg/L,6.8
2009-06-15,mg/L,5.8
2007-06-12,mg/L,0.31
2012-05-04,mg N/L        ,0.3
2012-05-23,mg N/L        ,0.186
2010-05-21,mg/L,4.8
2007-05-17,mg/L,3.7
2006-05-16,mg/L,4
2012-04-09,mg N/L        ,0.98
2007-04-03,mg/L,2.9
2007-04-24,mg/L,1.94
2008-04-18,mg/L,4.6
2009-04-14,mg/L,3
2012-03-06,mg N/L        ,6.25
2011-03-29,mg/L,5.36
2012-03-27,mg N/L        ,2.15
2007-03-15,mg/L,2.8
2006-03-14,mg/L,2.8
2007-11-08,mg/L,0.146
2009-10-06,mg/L,0.061
2008-10-21,mg/L,0.83
2012-10-19,mg N/L        ,0.046
2011-10-18,mg/L,
2010-10-12,mg/L,
2007-10-11,mg/L,0.005
2012-10-10,mg N/L        ,0.061
