,STATION_NUMBER,STATION_NAME,PROV_TERR_STATE_LOC,REGIONAL_OFFICE_ID,HYD_STATUS,SED_STATUS,LATITUDE,LONGITUDE,DRAINAGE_AREA_GROSS,DRAINAGE_AREA_EFFECT,RHBN,REAL_TIME,CONTRIBUTOR_ID,OPERATOR_ID,DATUM_ID
0,01AA002,DAAQUAM (RIVIERE) EN AVAL DE LA RIVIERE SHIDGEL,QC,6,D,,4.65574989e+01,-7.00811081e+01,5.98000000e+02,,0,0,740,740,405.0
1,01AD001,MADAWASKA (RIVIERE) A 6 KM EN AVAL DU BARRAGE TEMISCOUATA,QC,6,D,,4.75483284e+01,-6.86363907e+01,2.69000000e+03,,0,0,647,740,405.0
2,01AD002,SAINT JOHN RIVER AT FORT KENT,ME,7,A,,4.72580605e+01,-6.85958328e+01,1.47000000e+04,,1,0,647,600,42.0
3,01AD003,ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE,NB,7,A,,4.72066116e+01,-6.89569397e+01,1.35000000e+03,,1,1,647,647,10.0
4,01AD004,SAINT JOHN RIVER AT EDMUNDSTON,NB,7,A,,4.73607788e+01,-6.83248901e+01,1.55000000e+04,,0,1,647,647,35.0
5,01AD005,MADAWASKA (RIVIERE) AU RESERVOIR TEMISCOUATA,QC,6,D,,4.75705605e+01,-6.86430588e+01,2.59000000e+03,,0,0,530,530,405.0
6,01AD008,LONG (LAC) PRES DE LES ETROITS,QC,6,D,,4.73908310e+01,-6.88983307e+01,1.08000000e+02,,0,0,740,740,405.0
7,01AD009,CABANO (RIVIERE) AU LAC LONG,QC,6,D,,4.74644394e+01,-6.90019379e+01,1.72000000e+02,,0,0,740,740,405.0
8,01AD012,SAINT-FRANCOIS (RIVIERE) EN AVAL DU LAC SAINT-FRANCOIS,QC,6,D,,4.77247200e+01,-6.92833328e+01,5.85999985e+01,,0,0,740,740,405.0
9,01AD013,SAINT-FRANCOIS (RIVIERE) EN AVAL DU LAC SAINT-FRANCOIS,QC,6,D,,4.77191696e+01,-6.92838898e+01,5.97999992e+01,,0,0,740,740,405.0
10,01AD014,POHENEGAMOOK (LAC) A ESTCOURT,QC,6,D,,4.74599991e+01,-6.92255630e+01,3.89000000e+02,,0,0,740,740,405.0
11,01AD015,MADAWASKA (RIVIERE) A 6 KM EN AVAL DU BARRAGE TEMISCOUATA,QC,6,A,,4.75385017e+01,-6.85917969e+01,2.71200000e+03,,0,1,740,740,
12,01AE001,FISH RIVER NEAR FORT KENT,ME,7,A,,4.72374992e+01,-6.85827789e+01,2.26000000e+03,,0,0,647,600,42.0
13,01AF002,SAINT JOHN RIVER AT GRAND FALLS,NB,7,A,,4.70388908e+01,-6.77397232e+01,2.19000000e+04,,0,1,647,647,35.0
14,01AF003,GREEN RIVER NEAR RIVIERE-VERTE,NB,7,D,,4.73349991e+01,-6.81350021e+01,1.15000000e+03,,0,0,,647,10.0
15,01AF006,BLACK BROOK NEAR ST-ANDRE-DE-MADAWASKA,NB,7,D,D,4.70913887e+01,-6.77313919e+01,1.41999998e+01,,0,0,,,10.0
16,01AF007,GRANDE RIVIERE AT VIOLETTE BRIDGE,NB,7,A,D,4.72469711e+01,-6.79212799e+01,3.39000000e+02,,0,1,647,647,10.0
17,01AF008,SAINT JOHN RIVER AT THE FALLS AT GRAND FALLS,NB,7,D,,4.70513916e+01,-6.77386093e+01,,,0,0,,,35.0
18,01AF009,IROQUOIS RIVER AT MOULIN MORNEAULT,NB,7,A,,4.74578285e+01,-6.83568268e+01,1.82000000e+02,,0,1,400,647,10.0
