Great Lakes Coastal Forecasting System (Nowcast Forcing Data),,,,,
Requested Longitude: -82.1530 degree,,,,,
Requested Latitude: 42.2287 degree,,,,,
Lake:Erie,,,,,
,,,,,
Date/Time,Cloud Cover(fraction),,,,
2007-01-01,0.8101875,,,,
2007-01-02,0.384570833,,,,
2007-01-03,0.232433333,,,,
2007-01-04,0.621966667,,,,
2007-01-05,0.980504167,,,,
2007-01-06,0.892604167,,,,
2007-01-07,0.653620833,,,,
2007-01-08,0.795358333,,,,
2007-01-09,0.793708333,,,,
2007-01-10,0.5965875,,,,
2007-01-11,0.692420833,,,,
2007-01-12,0.985404167,,,,
2007-01-13,1,,,,
2007-01-14,1,,,,
2007-01-15,0.995279167,,,,
2007-01-16,0.7496375,,,,
2007-01-17,0.363495833,,,,
2007-01-18,0.767025,,,,
2007-01-19,0.925116667,,,,
2007-01-20,0.588129167,,,,
2007-01-21,0.753416667,,,,
2007-01-22,0.978125,,,,
2007-01-23,0.993283333,,,,
2007-01-24,0.970116667,,,,
2007-01-25,0.69645,,,,
2007-01-26,0.708108333,,,,
2007-01-27,0.905504167,,,,
2007-01-28,0.778991667,,,,
2007-01-29,0.769895833,,,,
2007-01-30,0.849554167,,,,
2007-01-31,0.5927125,,,,
2007-02-01,0.9223625,,,,
2007-02-02,0.760520833,,,,
2007-02-03,0.371491667,,,,
2007-02-04,0.4308375,,,,
2007-02-05,0.497504167,,,,
2007-02-06,0.551316667,,,,
2007-02-07,0.405379167,,,,
2007-02-08,0.190629167,,,,
2007-02-09,0.484241667,,,,
2007-02-10,0.602045833,,,,
2007-02-11,0.774145833,,,,
2007-02-12,0.9015625,,,,
2007-02-13,0.866516667,,,,
2007-02-14,0.74025,,,,
2007-02-15,0.3162,,,,
2007-02-16,0.293466667,,,,
2007-02-17,0.792558333,,,,
2007-02-18,0.6062875,,,,
2007-02-19,0.583204167,,,,
2007-02-20,0.633333333,,,,
2007-02-21,0.705441667,,,,
2007-02-22,0.841333333,,,,
