Great Lakes Coastal Forecasting System (Nowcast Forcing Data),,,,
Requested Longitude: -80.5491 degree,,,,
Requested Latitude: 42.5749 degree,,,,
Lake:Erie,,,,
,,,,
Date/Time,Cloud Cover(fraction),,,
2006-01-01,0.953466667,,,
2006-01-02,0.9976625,,,
2006-01-03,0.993541667,,,
2006-01-04,1,,,
2006-01-05,0.990625,,,
2006-01-06,0.829483333,,,
2006-01-07,0.991579167,,,
2006-01-08,0.6639,,,
2006-01-09,0.886966667,,,
2006-01-10,0.787529167,,,
2006-01-11,0.902358333,,,
2006-01-12,0.345508333,,,
2006-01-13,0.746420833,,,
2006-01-14,0.816933333,,,
2006-01-15,0.344075,,,
2006-01-16,0.443304167,,,
2006-01-17,0.8228875,,,
2006-01-18,0.9794625,,,
2006-01-19,0.545670833,,,
2006-01-20,0.941720833,,,
2006-01-21,0.752983333,,,
2006-01-22,0.379004167,,,
2006-01-23,0.632616667,,,
2006-01-24,0.624275,,,
2006-01-25,0.961566667,,,
2006-01-26,0.440570833,,,
2006-01-27,0.241766667,,,
2006-01-28,0.59155,,,
2006-01-29,0.964166667,,,
2006-01-30,0.767829167,,,
2006-01-31,0.9581,,,
2006-02-01,0.78145,,,
2006-02-02,0.623770833,,,
2006-02-03,0.9409,,,
2006-02-04,0.923033333,,,
2006-02-05,0.993479167,,,
2006-02-06,0.956545833,,,
2006-02-07,0.977345833,,,
2006-02-08,0.884241667,,,
2006-02-09,0.779229167,,,
2006-02-10,0.8864625,,,
2006-02-11,0.8103625,,,
2006-02-12,0.765116667,,,
2006-02-13,0.964129167,,,
2006-02-14,0.787325,,,
2006-02-15,0.525375,,,
2006-02-16,0.9777125,,,
2006-02-17,0.8596875,,,
2006-02-18,0.780020833,,,
2006-02-19,0.701508333,,,
2006-02-20,0.653666667,,,
2006-02-21,0.705691667,,,
2006-02-22,0.365945833,,,
2006-02-23,0.505575,,,
2006-02-24,0.628083333,,,
2006-02-25,0.788708333,,,
2006-02-26,0.605275,,,
2006-02-27,0.757841667,,,
2006-02-28,0.699266667,,,
2006-03-01,0.557945833,,,
