Great Lakes Coastal Forecasting System (Nowcast Forcing Data),,,,,
Requested Longitude: -82.4171 degree,,,,,
Requested Latitude: 42.1000 degree,,,,,
Lake:Erie,,,,,
,,,,,
Date/Time,Cloud Cover(fraction),,,,
2006-01-01,0.8741125,,,,
2006-01-02,0.94255,,,,
2006-01-03,0.958475,,,,
2006-01-04,0.939433333,,,,
2006-01-05,0.967541667,,,,
2006-01-06,0.6941125,,,,
2006-01-07,0.999075,,,,
2006-01-08,0.67235,,,,
2006-01-09,0.849795833,,,,
2006-01-10,0.764366667,,,,
2006-01-11,0.897616667,,,,
2006-01-12,0.202929167,,,,
2006-01-13,0.821541667,,,,
2006-01-14,0.813545833,,,,
2006-01-15,0.519779167,,,,
2006-01-16,0.397,,,,
2006-01-17,0.938741667,,,,
2006-01-18,0.953058333,,,,
2006-01-19,0.590104167,,,,
2006-01-20,0.85675,,,,
2006-01-21,0.6326125,,,,
2006-01-22,0.400458333,,,,
2006-01-23,0.438354167,,,,
2006-01-24,0.6659,,,,
2006-01-25,0.899520833,,,,
2006-01-26,0.396245833,,,,
2006-01-27,0.2817,,,,
2006-01-28,0.66515,,,,
2006-01-29,0.916370833,,,,
2006-01-30,0.753120833,,,,
2006-01-31,0.928783333,,,,
2006-02-01,0.62135,,,,
2006-02-02,0.7421,,,,
2006-02-03,0.910941667,,,,
2006-02-04,0.932941667,,,,
2006-02-05,0.9638375,,,,
2006-02-06,0.628625,,,,
2006-02-07,0.9260125,,,,
2006-02-08,0.887433333,,,,
2006-02-09,0.631591667,,,,
2006-02-10,0.8552125,,,,
2006-02-11,0.896008333,,,,
2006-02-12,0.6690875,,,,
2006-02-13,0.911920833,,,,
2006-02-14,0.5326,,,,
2006-02-15,0.538029167,,,,
2006-02-16,0.967004167,,,,
2006-02-17,0.73985,,,,
2006-02-18,0.5739625,,,,
2006-02-19,0.4780875,,,,
2006-02-20,0.557883333,,,,
2006-02-21,0.548208333,,,,
2006-02-22,0.444354167,,,,
2006-02-23,0.511675,,,,
2006-02-24,0.466304167,,,,
2006-02-25,0.551829167,,,,
2006-02-26,0.461220833,,,,
2006-02-27,0.8436875,,,,
2006-02-28,0.454954167,,,,
2006-03-01,0.42455,,,,
2006-03-02,0.952591667,,,,
2006-03-03,0.669816667,,,,
2006-03-04,0.077095833,,,,
2006-03-05,0.399120833,,,,
2006-03-06,0.766008333,,,,
2006-03-07,0.186304167,,,,
2006-03-08,0.849983333,,,,
2006-03-09,0.910341667,,,,
2006-03-10,0.840016667,,,,
2006-03-11,0.446304167,,,,
2006-03-12,0.914179167,,,,
2006-03-13,0.748958333,,,,
2006-03-14,0.8997125,,,,
2006-03-15,0.445779167,,,,
2006-03-16,0.55135,,,,
2006-03-17,0.444966667,,,,
2006-03-18,0.279245833,,,,
2006-03-19,0.273204167,,,,
2006-03-20,0.524783333,,,,
2006-03-21,0.611579167,,,,
2006-03-22,0.90605,,,,
2006-03-23,0.883720833,,,,
2006-03-24,0.829458333,,,,
2006-03-25,0.909604167,,,,
2006-03-26,0.5725375,,,,
2006-03-27,0.3034,,,,
2006-03-28,0.8868125,,,,
2006-03-29,0.358508333,,,,
2006-03-30,0.2466875,,,,
2006-03-31,0.534445833,,,,
2006-04-01,0.969666667,,,,
2006-04-02,0.811616667,,,,
2006-04-03,0.727941667,,,,
2006-04-04,0.422025,,,,
2006-04-05,0.689283333,,,,
2006-04-06,0.362758333,,,,
2006-04-07,0.9731875,,,,
2006-04-08,0.4312375,,,,
2006-04-09,0.245470833,,,,
2006-04-10,0.283404167,,,,
2006-04-11,0.404004167,,,,
2006-04-12,0.709141667,,,,
2006-04-13,0.430229167,,,,
2006-04-14,0.6065875,,,,
2006-04-15,0.278725,,,,
2006-04-16,0.3707,,,,
2006-04-17,0.115233333,,,,
2006-04-18,0.0496625,,,,
2006-04-19,0.181904167,,,,
2006-04-20,0.340845833,,,,
2006-04-21,0.765041667,,,,
2006-04-22,0.6766125,,,,
2006-04-23,0.790525,,,,
2006-04-24,0.712133333,,,,
2006-04-25,0.538216667,,,,
2006-04-26,0.004395833,,,,
2006-04-27,0.169108333,,,,
2006-04-28,0.063020833,,,,
2006-04-29,0.454625,,,,
2006-04-30,0.570241667,,,,
2006-05-01,0.601029167,,,,
2006-05-02,0.745008333,,,,
2006-05-03,0.526866667,,,,
2006-05-04,0.442379167,,,,
2006-05-05,0.453104167,,,,
2006-05-06,0.442079167,,,,
2006-05-07,0.148766667,,,,
2006-05-08,0.091745833,,,,
2006-05-09,0.265141667,,,,
2006-05-10,0.669275,,,,
