"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2002-08-20,0.940523832895995,-0.061318289896523,0.163,0.163,1,0.163,55748,8,233,2002.63436073059,1832,2002,-0.747448768761957,-0.664319454837983,-2.67015275453813,0.401487606779041,0.0750533109460435
"2",2002-09-25,0.815120642973317,-0.204419148508247,0.052,0.052,1,0.052,55784,9,269,2002.73299086758,1833,2002,-0.994294671338675,-0.106668207763684,-2.79470922107949,0.444964601503332,0.0674942768042213
"3",2002-10-28,1.04165538965115,0.0408111685267611,0.047,0.047,1,0.047,55817,10,302,2002.82340182648,1834,2003,-0.895520326256792,0.445020612175356,-3.0874123146271,0.455972506807268,0.0506175537322031
"4",2002-11-26,1.10233440683442,0.0974301191754183,0.09,0.09,1,0.09,55846,11,331,2002.90285388128,1835,2003,-0.573184674894868,0.819426219049442,-3.6369779777461,0.385349807197939,0.0283612715923798
"5",2003-03-19,6.41174322231933,1.85813118751987,0.178,0.178,1,0.178,55959,3,79,2003.21244292237,1839,2003,0.972286137521841,0.233794069178111,-2.9010821168049,0.30906741210557,0.0576525509579602
"6",2003-04-22,1.70912400221698,0.535980959849371,0.06,0.06,1,0.06,55993,4,113,2003.30559360731,1840,2003,0.939610821632863,-0.342244801086031,-2.60652914506607,0.415526622553132,0.0804436806998086
"7",2003-05-27,1.83048179386769,0.604579207539993,0.084,0.084,1,0.084,56028,5,148,2003.40148401826,1841,2003,0.580216242546708,-0.814462468064048,-2.38497977115142,0.420391001549623,0.100598747261857
"8",2003-06-23,1.2641449271731,0.23439594672564,0.102,0.102,1,0.102,56055,6,175,2003.475456621,1842,2003,0.153600113283131,-0.988133090833117,-2.36788310418116,0.417889414515523,0.102226195010317
"9",2003-07-21,1.07199483756383,0.0695212469316314,0.175,0.175,1,0.175,56083,7,203,2003.55216894977,1843,2003,-0.321948814099506,-0.946757076075971,-2.46170564296193,0.403024359960558,0.0925051162112789
"10",2003-09-03,0.88995802367328,-0.116580981780272,0.045,0.045,1,0.045,56127,9,247,2003.67271689498,1845,2003,-0.884402499922273,-0.466724991971968,-2.57836916408429,0.426982790868475,0.0831414410716469
"11",2003-10-08,1.21357918065197,0.193573993872051,0.042,0.042,1,0.042,56162,10,282,2003.76860730594,1846,2004,-0.993173438690942,0.116646991726358,-2.82104757133878,0.441235384493012,0.0656312556072415
"12",2003-11-25,1.83048179386769,0.604579207539993,0.032,0.032,1,0.032,56210,11,330,2003.90011415525,1847,2004,-0.587204826752302,0.809438380260535,-3.01722283622927,0.452665328631325,0.0542165055552534
